tAtsNm,baseYmd,cnctrRate
구공업전습소본관,20260816,58.15
구공업전습소본관,20260817,58.74
구공업전습소본관,20260818,67.05
구공업전습소본관,20260819,58.07
구공업전습소본관,20260820,54.14
구공업전습소본관,20260821,58.58
구공업전습소본관,20260822,51.77
구공업전습소본관,20260823,52.54
구공업전습소본관,20260824,53.94
구공업전습소본관,20260825,55.42
구공업전습소본관,20260826,59.83
구공업전습소본관,20260827,54.03
구공업전습소본관,20260828,58.84
구공업전습소본관,20260829,59.59
구공업전습소본관,20260830,61.19
구공업전습소본관,20260831,66.46
구공업전습소본관,20260901,45.78
구공업전습소본관,20260902,53.11
구공업전습소본관,20260903,51.16
구공업전습소본관,20260904,54.02
구공업전습소본관,20260905,64.22
구공업전습소본관,20260906,48.68
구공업전습소본관,20260907,37.05
국립고궁박물관,20260809,76.2
국립고궁박물관,20260810,64.88
국립고궁박물관,20260811,67.28
국립고궁박물관,20260812,83.98
국립고궁박물관,20260813,86.6
국립고궁박물관,20260814,86.78
국립고궁박물관,20260815,98.29
국립고궁박물관,20260816,81.66
국립고궁박물관,20260817,78.9
국립고궁박물관,20260818,66.13
국립고궁박물관,20260819,79.01
국립고궁박물관,20260820,81.47
국립고궁박물관,20260821,85.97
국립고궁박물관,20260822,98.17
국립고궁박물관,20260823,80.43
국립고궁박물관,20260824,64.61
국립고궁박물관,20260825,61.74
국립고궁박물관,20260826,76.37
국립고궁박물관,20260827,81.93
국립고궁박물관,20260828,85.95
국립고궁박물관,20260829,98.02
국립고궁박물관,20260830,71.69
국립고궁박물관,20260831,71.11
국립고궁박물관,20260901,61.46
국립고궁박물관,20260902,79.23
국립고궁박물관,20260903,79.5
국립고궁박물관,20260904,84.35
국립고궁박물관,20260905,98.91
국립고궁박물관,20260906,89.58
국립고궁박물관,20260907,69.84
국립어린이과학관,20260809,91.33
국립어린이과학관,20260810,32.3
국립어린이과학관,20260811,32.39
국립어린이과학관,20260812,32.42
국립어린이과학관,20260813,32.29
국립어린이과학관,20260814,32.32
국립어린이과학관,20260815,88.68
국립어린이과학관,20260816,90.11
국립어린이과학관,20260817,89.75
국립어린이과학관,20260818,32.51
국립어린이과학관,20260819,32.52
국립어린이과학관,20260820,32.57
국립어린이과학관,20260821,32.26
국립어린이과학관,20260822,31.85
국립어린이과학관,20260823,48.33
국립어린이과학관,20260824,32.35
국립어린이과학관,20260825,32.37
국립어린이과학관,20260826,32.39
국립어린이과학관,20260827,32.28
국립어린이과학관,20260828,32.26
국립어린이과학관,20260829,32.53
국립어린이과학관,20260830,32.11
국립어린이과학관,20260831,32.29
국립어린이과학관,20260901,32.32
국립어린이과학관,20260902,32.64
국립어린이과학관,20260903,32.49
국립어린이과학관,20260904,32.3
국립어린이과학관,20260905,32.49
국립어린이과학관,20260906,32.46
국립어린이과학관,20260907,32.44
국립현대미술관 서울,20260809,70.09
국립현대미술관 서울,20260810,60.82
국립현대미술관 서울,20260811,57.86
국립현대미술관 서울,20260812,63.8
국립현대미술관 서울,20260813,69.18
국립현대미술관 서울,20260814,66.51
국립현대미술관 서울,20260815,97.04
국립현대미술관 서울,20260816,97.41
국립현대미술관 서울,20260817,72.22
국립현대미술관 서울,20260818,58.42
국립현대미술관 서울,20260819,71.17
국립현대미술관 서울,20260820,67.07
국립현대미술관 서울,20260821,66.45
국립현대미술관 서울,20260822,97.47
국립현대미술관 서울,20260823,73.24
국립현대미술관 서울,20260824,58.18
국립현대미술관 서울,20260825,49.53
국립현대미술관 서울,20260826,64.83
국립현대미술관 서울,20260827,65.06
국립현대미술관 서울,20260828,65.61
국립현대미술관 서울,20260829,97.11
국립현대미술관 서울,20260830,70.32
국립현대미술관 서울,20260831,59.85
국립현대미술관 서울,20260901,59.39
국립현대미술관 서울,20260902,83.66
국립현대미술관 서울,20260903,81.74
국립현대미술관 서울,20260904,85.86
국립현대미술관 서울,20260905,99.84
국립현대미술관 서울,20260906,96.77
국립현대미술관 서울,20260907,66.42
그라운드시소 서촌,20260809,81.79
그라운드시소 서촌,20260810,54.78
그라운드시소 서촌,20260811,54.47
그라운드시소 서촌,20260812,64.52
그라운드시소 서촌,20260813,65.87
그라운드시소 서촌,20260814,65.78
그라운드시소 서촌,20260815,92.08
그라운드시소 서촌,20260816,88.86
그라운드시소 서촌,20260817,72.64
그라운드시소 서촌,20260818,50.8
그라운드시소 서촌,20260819,60.71
그라운드시소 서촌,20260820,62.96
그라운드시소 서촌,20260821,61.36
그라운드시소 서촌,20260822,92.66
그라운드시소 서촌,20260823,76.52
그라운드시소 서촌,20260824,53.98
그라운드시소 서촌,20260825,53.19
그라운드시소 서촌,20260826,61.48
그라운드시소 서촌,20260827,62.59
그라운드시소 서촌,20260828,65.3
그라운드시소 서촌,20260829,90.9
그라운드시소 서촌,20260830,75.92
그라운드시소 서촌,20260831,56
그라운드시소 서촌,20260901,57.64
그라운드시소 서촌,20260902,67.64
그라운드시소 서촌,20260903,68.2
그라운드시소 서촌,20260904,64.85
그라운드시소 서촌,20260905,92.48
그라운드시소 서촌,20260906,81.75
그라운드시소 서촌,20260907,53.69
금선사(서울),20260809,59.21
금선사(서울),20260810,30.83
금선사(서울),20260811,31.68
금선사(서울),20260812,27.5
금선사(서울),20260813,32.28
금선사(서울),20260814,33.83
금선사(서울),20260815,82.36
금선사(서울),20260816,72.29
금선사(서울),20260817,27.87
금선사(서울),20260818,31.35
금선사(서울),20260819,30.17
금선사(서울),20260820,31.85
금선사(서울),20260821,42.92
금선사(서울),20260822,76.41
금선사(서울),20260823,61.5
금선사(서울),20260824,31.86
금선사(서울),20260825,41.37
금선사(서울),20260826,34.87
금선사(서울),20260827,40.87
금선사(서울),20260828,39.8
금선사(서울),20260829,69.54
금선사(서울),20260830,60.34
금선사(서울),20260831,37.38
금선사(서울),20260901,29.49
금선사(서울),20260902,27.69
금선사(서울),20260903,27.24
금선사(서울),20260904,33.72
금선사(서울),20260905,86.56
금선사(서울),20260906,94.75
금선사(서울),20260907,32.39
김달진미술자료박물관,20260809,55.49
김달진미술자료박물관,20260810,52.41
김달진미술자료박물관,20260811,55.12
김달진미술자료박물관,20260812,59.95
김달진미술자료박물관,20260813,59.5
김달진미술자료박물관,20260814,62.61
김달진미술자료박물관,20260815,78.23
김달진미술자료박물관,20260816,55.13
김달진미술자료박물관,20260817,52.9
김달진미술자료박물관,20260818,66.86
김달진미술자료박물관,20260819,70.57
김달진미술자료박물관,20260820,71.1
김달진미술자료박물관,20260821,80.94
김달진미술자료박물관,20260822,90.01
김달진미술자료박물관,20260823,58.99
김달진미술자료박물관,20260824,54.16
김달진미술자료박물관,20260825,68.23
김달진미술자료박물관,20260826,71.21
김달진미술자료박물관,20260827,73.17
김달진미술자료박물관,20260828,82.84
김달진미술자료박물관,20260829,84.04
김달진미술자료박물관,20260830,67.77
김달진미술자료박물관,20260831,58.76
김달진미술자료박물관,20260901,79.27
김달진미술자료박물관,20260902,81.79
김달진미술자료박물관,20260903,84.47
김달진미술자료박물관,20260904,88.5
김달진미술자료박물관,20260905,85.07
김달진미술자료박물관,20260906,66.68
김달진미술자료박물관,20260907,82.1
낙산공원,20260809,85.49
낙산공원,20260810,42.93
낙산공원,20260811,50.94
낙산공원,20260812,64.71
낙산공원,20260813,60.96
낙산공원,20260814,61.2
낙산공원,20260815,93.05
낙산공원,20260816,92.01
낙산공원,20260817,80.41
낙산공원,20260818,49.11
낙산공원,20260819,55.7
낙산공원,20260820,53.3
낙산공원,20260821,61.42
낙산공원,20260822,96.2
낙산공원,20260823,87.48
낙산공원,20260824,47.26
낙산공원,20260825,56.38
낙산공원,20260826,71.46
낙산공원,20260827,63.19
낙산공원,20260828,74.88
낙산공원,20260829,96.61
낙산공원,20260830,89.13
낙산공원,20260831,51.98
낙산공원,20260901,46.75
낙산공원,20260902,45.96
낙산공원,20260903,46.12
낙산공원,20260904,55.4
낙산공원,20260905,95.63
낙산공원,20260906,82.22
낙산공원,20260907,40.01
낙원동 아구찜 거리,20260809,89.61
낙원동 아구찜 거리,20260810,65.63
낙원동 아구찜 거리,20260811,67.21
낙원동 아구찜 거리,20260812,79.34
낙원동 아구찜 거리,20260813,63.15
낙원동 아구찜 거리,20260814,80.72
낙원동 아구찜 거리,20260815,97.72
낙원동 아구찜 거리,20260816,88.34
낙원동 아구찜 거리,20260817,67.13
낙원동 아구찜 거리,20260818,62.71
낙원동 아구찜 거리,20260819,64.08
낙원동 아구찜 거리,20260820,61.61
낙원동 아구찜 거리,20260821,75.38
낙원동 아구찜 거리,20260822,98.77
낙원동 아구찜 거리,20260823,84.6
낙원동 아구찜 거리,20260824,76.08
낙원동 아구찜 거리,20260825,66.25
낙원동 아구찜 거리,20260826,62.97
낙원동 아구찜 거리,20260827,62.4
낙원동 아구찜 거리,20260828,86.08
낙원동 아구찜 거리,20260829,98.18
낙원동 아구찜 거리,20260830,84.87
낙원동 아구찜 거리,20260831,83.54
낙원동 아구찜 거리,20260901,70.52
낙원동 아구찜 거리,20260902,75.03
낙원동 아구찜 거리,20260903,66.42
낙원동 아구찜 거리,20260904,73.67
낙원동 아구찜 거리,20260905,98.87
낙원동 아구찜 거리,20260906,81.12
낙원동 아구찜 거리,20260907,64.77
대각사,20260809,77.12
대각사,20260810,58.16
대각사,20260811,60.08
대각사,20260812,65.89
대각사,20260813,68.59
대각사,20260814,83.09
대각사,20260815,93.17
대각사,20260816,82.85
대각사,20260817,67.97
대각사,20260818,57.79
대각사,20260819,57.96
대각사,20260820,67.75
대각사,20260821,78.98
대각사,20260822,92.36
대각사,20260823,79.32
대각사,20260824,67.29
대각사,20260825,62.54
대각사,20260826,62.01
대각사,20260827,66.29
대각사,20260828,82.77
대각사,20260829,94.41
대각사,20260830,71.07
대각사,20260831,70.14
대각사,20260901,69.79
대각사,20260902,70.45
대각사,20260903,72.52
대각사,20260904,92.31
대각사,20260905,98.12
대각사,20260906,91.47
대각사,20260907,69.63
대학로,20260809,79.42
대학로,20260810,51.34
대학로,20260811,62.11
대학로,20260812,69
대학로,20260813,67.48
대학로,20260814,72.2
대학로,20260815,92.95
대학로,20260816,81.32
대학로,20260817,69.83
대학로,20260818,60.7
대학로,20260819,70.26
대학로,20260820,69.29
대학로,20260821,76.81
대학로,20260822,94.03
대학로,20260823,78.13
대학로,20260824,57.81
대학로,20260825,68.25
대학로,20260826,76.25
대학로,20260827,73.6
대학로,20260828,80.39
대학로,20260829,94.2
대학로,20260830,79.39
대학로,20260831,64.2
대학로,20260901,58.29
대학로,20260902,64.78
대학로,20260903,67.16
대학로,20260904,75.65
대학로,20260905,92.68
대학로,20260906,79.48
대학로,20260907,52.78
대한민국역사박물관,20260809,57.13
대한민국역사박물관,20260810,50.99
대한민국역사박물관,20260811,72.08
대한민국역사박물관,20260812,91.69
대한민국역사박물관,20260813,49.39
대한민국역사박물관,20260814,78.23
대한민국역사박물관,20260815,99.67
대한민국역사박물관,20260816,63.52
대한민국역사박물관,20260817,84.73
대한민국역사박물관,20260818,56.64
대한민국역사박물관,20260819,70.62
대한민국역사박물관,20260820,66.03
대한민국역사박물관,20260821,77.74
대한민국역사박물관,20260822,99.52
대한민국역사박물관,20260823,45.02
대한민국역사박물관,20260824,65.55
대한민국역사박물관,20260825,57.91
대한민국역사박물관,20260826,72.89
대한민국역사박물관,20260827,65.03
대한민국역사박물관,20260828,75.78
대한민국역사박물관,20260829,98.76
대한민국역사박물관,20260830,46.51
대한민국역사박물관,20260831,78.51
대한민국역사박물관,20260901,45.91
대한민국역사박물관,20260902,80.34
대한민국역사박물관,20260903,63.34
대한민국역사박물관,20260904,72.07
대한민국역사박물관,20260905,98.48
대한민국역사박물관,20260906,47.6
대한민국역사박물관,20260907,52.66
돈의문박물관마을,20260809,28.25
돈의문박물관마을,20260810,63.87
돈의문박물관마을,20260811,75.91
돈의문박물관마을,20260812,76.71
돈의문박물관마을,20260813,67.55
돈의문박물관마을,20260814,65.07
돈의문박물관마을,20260815,61.13
돈의문박물관마을,20260816,27.52
돈의문박물관마을,20260817,29.37
돈의문박물관마을,20260818,64.22
돈의문박물관마을,20260819,68.19
돈의문박물관마을,20260820,66.19
돈의문박물관마을,20260821,66.81
돈의문박물관마을,20260822,60.93
돈의문박물관마을,20260823,26.93
돈의문박물관마을,20260824,65.94
돈의문박물관마을,20260825,60.94
돈의문박물관마을,20260826,64.35
돈의문박물관마을,20260827,64.91
돈의문박물관마을,20260828,67.4
돈의문박물관마을,20260829,59.25
돈의문박물관마을,20260830,24.45
돈의문박물관마을,20260831,64.05
돈의문박물관마을,20260901,65.14
돈의문박물관마을,20260902,64.15
돈의문박물관마을,20260903,65.28
돈의문박물관마을,20260904,63.68
돈의문박물관마을,20260905,44.08
돈의문박물관마을,20260906,31.96
돈의문박물관마을,20260907,69.63
동대문 문구완구거리,20260809,53.15
동대문 문구완구거리,20260810,42.05
동대문 문구완구거리,20260811,38.35
동대문 문구완구거리,20260812,44.72
동대문 문구완구거리,20260813,48.68
동대문 문구완구거리,20260814,53.83
동대문 문구완구거리,20260815,78.15
동대문 문구완구거리,20260816,59.28
동대문 문구완구거리,20260817,40.67
동대문 문구완구거리,20260818,43.55
동대문 문구완구거리,20260819,43.38
동대문 문구완구거리,20260820,46.27
동대문 문구완구거리,20260821,45.7
동대문 문구완구거리,20260822,93.13
동대문 문구완구거리,20260823,77.55
동대문 문구완구거리,20260824,39.16
동대문 문구완구거리,20260825,69.14
동대문 문구완구거리,20260826,67.51
동대문 문구완구거리,20260827,64.15
동대문 문구완구거리,20260828,58.84
동대문 문구완구거리,20260829,87.6
동대문 문구완구거리,20260830,56.22
동대문 문구완구거리,20260831,53.97
동대문 문구완구거리,20260901,38.84
동대문 문구완구거리,20260902,36.13
동대문 문구완구거리,20260903,31.55
동대문 문구완구거리,20260904,46.25
동대문 문구완구거리,20260905,74.26
동대문 문구완구거리,20260906,41.42
동대문 문구완구거리,20260907,40.4
동림매듭공방,20260809,75.95
동림매듭공방,20260810,61.77
동림매듭공방,20260811,62.04
동림매듭공방,20260812,59.5
동림매듭공방,20260813,73.22
동림매듭공방,20260814,90.25
동림매듭공방,20260815,98.68
동림매듭공방,20260816,90.04
동림매듭공방,20260817,71.41
동림매듭공방,20260818,59.67
동림매듭공방,20260819,62.7
동림매듭공방,20260820,73.75
동림매듭공방,20260821,90.24
동림매듭공방,20260822,98.56
동림매듭공방,20260823,72.48
동림매듭공방,20260824,63.35
동림매듭공방,20260825,67.51
동림매듭공방,20260826,73.11
동림매듭공방,20260827,82.79
동림매듭공방,20260828,92.66
동림매듭공방,20260829,98.48
동림매듭공방,20260830,71.66
동림매듭공방,20260831,61.92
동림매듭공방,20260901,52.96
동림매듭공방,20260902,74.18
동림매듭공방,20260903,85.86
동림매듭공방,20260904,83.21
동림매듭공방,20260905,99.77
동림매듭공방,20260906,97.49
동림매듭공방,20260907,65.97
동십자각,20260809,93.57
동십자각,20260810,60.4
동십자각,20260811,80.86
동십자각,20260812,58.96
동십자각,20260813,97.32
동십자각,20260814,77.28
동십자각,20260815,40.32
동십자각,20260816,24.26
동십자각,20260817,28
동십자각,20260818,46.9
동십자각,20260819,38.62
동십자각,20260820,90.84
동십자각,20260821,47.62
동십자각,20260822,75.67
동십자각,20260823,29.83
동십자각,20260824,38.51
동십자각,20260825,49.84
동십자각,20260826,36.15
동십자각,20260827,87.86
동십자각,20260828,52.38
동십자각,20260829,75.03
동십자각,20260830,29.28
동십자각,20260831,39.08
동십자각,20260901,44.85
동십자각,20260902,40.18
동십자각,20260903,46.04
동십자각,20260904,45.95
동십자각,20260905,50.03
동십자각,20260906,32.15
동십자각,20260907,32.94
딜쿠샤,20260809,56.14
딜쿠샤,20260810,37.65
딜쿠샤,20260811,42.9
딜쿠샤,20260812,45.55
딜쿠샤,20260813,59.5
딜쿠샤,20260814,60.29
딜쿠샤,20260815,97.02
딜쿠샤,20260816,90.14
딜쿠샤,20260817,56.42
딜쿠샤,20260818,53.99
딜쿠샤,20260819,45.86
딜쿠샤,20260820,68.23
딜쿠샤,20260821,70.79
딜쿠샤,20260822,67.77
딜쿠샤,20260823,69.86
딜쿠샤,20260824,47.09
딜쿠샤,20260825,51.41
딜쿠샤,20260826,55.32
딜쿠샤,20260827,57.95
딜쿠샤,20260828,64.3
딜쿠샤,20260829,80.26
딜쿠샤,20260830,76.69
딜쿠샤,20260831,59.2
딜쿠샤,20260901,43.87
딜쿠샤,20260902,46.72
딜쿠샤,20260903,51.08
딜쿠샤,20260904,55.35
딜쿠샤,20260905,80.23
딜쿠샤,20260906,56.21
딜쿠샤,20260907,45.04
떡박물관,20260809,86.49
떡박물관,20260810,57.37
떡박물관,20260811,61.88
떡박물관,20260812,71.57
떡박물관,20260813,69.13
떡박물관,20260814,82.95
떡박물관,20260815,95.66
떡박물관,20260816,89.53
떡박물관,20260817,78.29
떡박물관,20260818,60.11
떡박물관,20260819,62.34
떡박물관,20260820,67.35
떡박물관,20260821,86.15
떡박물관,20260822,99.46
떡박물관,20260823,91.06
떡박물관,20260824,61.31
떡박물관,20260825,66.14
떡박물관,20260826,64.99
떡박물관,20260827,68.52
떡박물관,20260828,87.38
떡박물관,20260829,99.26
떡박물관,20260830,91.01
떡박물관,20260831,63.01
떡박물관,20260901,58.8
떡박물관,20260902,61
떡박물관,20260903,71.28
떡박물관,20260904,89.22
떡박물관,20260905,97.66
떡박물관,20260906,84.24
떡박물관,20260907,56.51
마로니에공원,20260809,73.54
마로니에공원,20260810,43.69
마로니에공원,20260811,62.77
마로니에공원,20260812,71.85
마로니에공원,20260813,64.01
마로니에공원,20260814,67.82
마로니에공원,20260815,90.05
마로니에공원,20260816,84.98
마로니에공원,20260817,41.83
마로니에공원,20260818,60.84
마로니에공원,20260819,69.55
마로니에공원,20260820,65.27
마로니에공원,20260821,57.84
마로니에공원,20260822,88.78
마로니에공원,20260823,78.69
마로니에공원,20260824,52.12
마로니에공원,20260825,62.64
마로니에공원,20260826,78.4
마로니에공원,20260827,75.66
마로니에공원,20260828,80.71
마로니에공원,20260829,91.86
마로니에공원,20260830,88.45
마로니에공원,20260831,53.35
마로니에공원,20260901,55.6
마로니에공원,20260902,62.22
마로니에공원,20260903,61.27
마로니에공원,20260904,66.9
마로니에공원,20260905,89.48
마로니에공원,20260906,72.39
마로니에공원,20260907,44.56
목인박물관 목석원,20260809,35.32
목인박물관 목석원,20260810,35.43
목인박물관 목석원,20260811,35.29
목인박물관 목석원,20260812,35.28
목인박물관 목석원,20260813,35.32
목인박물관 목석원,20260814,35.39
목인박물관 목석원,20260815,35.6
목인박물관 목석원,20260816,35.57
목인박물관 목석원,20260817,35.49
목인박물관 목석원,20260818,35.31
목인박물관 목석원,20260819,35.31
목인박물관 목석원,20260820,35.3
목인박물관 목석원,20260821,35.34
목인박물관 목석원,20260822,35.54
목인박물관 목석원,20260823,35.36
목인박물관 목석원,20260824,35.71
목인박물관 목석원,20260825,35.35
목인박물관 목석원,20260826,35.36
목인박물관 목석원,20260827,35.35
목인박물관 목석원,20260828,35.4
목인박물관 목석원,20260829,35.55
목인박물관 목석원,20260830,35.24
목인박물관 목석원,20260831,35.5
목인박물관 목석원,20260901,35.43
목인박물관 목석원,20260902,35.34
목인박물관 목석원,20260903,35.32
목인박물관 목석원,20260904,35.3
목인박물관 목석원,20260905,35.76
목인박물관 목석원,20260906,35.24
목인박물관 목석원,20260907,35.4
묘각사(서울),20260809,40.6
묘각사(서울),20260810,30.53
묘각사(서울),20260811,26.28
묘각사(서울),20260812,33.59
묘각사(서울),20260813,26.72
묘각사(서울),20260814,37.02
묘각사(서울),20260815,42.07
묘각사(서울),20260816,44.25
묘각사(서울),20260817,30.3
묘각사(서울),20260818,29.94
묘각사(서울),20260819,40.82
묘각사(서울),20260820,37.04
묘각사(서울),20260821,42.52
